Date,new_cases
9/16/2020,93198.57143
9/17/2020,93180.42857
9/18/2020,92575.71429
9/19/2020,92323.28571
9/20/2020,91593.28571
9/21/2020,90346.71429
9/22/2020,89378.71429
9/23/2020,87752.14286
9/24/2020,86270.42857
9/25/2020,85131.14286
9/26/2020,84559
9/27/2020,83874.57143
9/28/2020,83232.57143
9/29/2020,82821.85714
9/30/2020,82866.57143
10/1/2020,82214
10/2/2020,81373.14286
10/3/2020,79548.71429
10/4/2020,78444.71429
10/5/2020,77113
10/6/2020,75909.71429
10/7/2020,74724.42857
10/8/2020,73154.71429
10/9/2020,72268.42857
10/10/2020,72061.85714
10/11/2020,70960.42857
10/12/2020,70114
10/13/2020,68894
10/14/2020,67348.85714
10/15/2020,66331
10/16/2020,64751
10/17/2020,62963.57143
10/18/2020,61390.71429
10/19/2020,60169
10/20/2020,58816.85714
10/21/2020,57121.28571
10/22/2020,55834.85714
10/23/2020,54571.71429
10/24/2020,52894.28571
10/25/2020,51383.71429
10/26/2020,49909.42857
10/27/2020,48459.28571
10/28/2020,47608.14286
10/29/2020,46791.28571
10/30/2020,46062.42857
10/31/2020,45610.14286
11/1/2020,45622
11/2/2020,45884.85714
11/3/2020,46222
11/4/2020,46269
11/5/2020,46124.71429
11/6/2020,46423
11/7/2020,46238.85714
11/8/2020,46334.85714
11/9/2020,46301
11/10/2020,46019.28571
11/11/2020,45690
11/12/2020,45295.85714
11/13/2020,44485.57143
11/14/2020,43832.14286
11/15/2020,41638.57143
11/16/2020,40365.71429
11/17/2020,39556.57143
11/18/2020,39223.85714
11/19/2020,39367.14286
11/20/2020,39588.28571
11/21/2020,40175.28571
11/22/2020,42105.42857
11/23/2020,43364.28571
11/24/2020,44187
11/25/2020,44031.71429
11/26/2020,43631.71429
11/27/2020,42930.28571
11/28/2020,42444.71429
11/29/2020,41689.42857
11/30/2020,40709.85714
12/1/2020,39599.57143
12/2/2020,38322.71429
12/3/2020,37396
12/4/2020,36728.85714
12/5/2020,35900.42857
12/6/2020,35073.14286
12/7/2020,34423
12/8/2020,33776.71429
12/9/2020,33201
12/10/2020,32169.28571
12/11/2020,31223.42857
12/12/2020,30401
12/13/2020,29556.71429
12/14/2020,28913.57143
12/15/2020,28099.57143
12/16/2020,27026.57143
12/17/2020,26100.42857
12/18/2020,25403.42857
12/19/2020,24884.85714
12/20/2020,24494.28571
12/21/2020,24135.85714
12/22/2020,23788.42857
12/23/2020,23888.71429
12/24/2020,23914
12/25/2020,23502.71429
12/26/2020,22375.28571
12/27/2020,21758.71429
12/28/2020,21312.42857
12/29/2020,20826.57143
12/30/2020,20413.71429
12/31/2020,19980.57143
1/1/2021,22386.42857
1/2/2021,19445
1/3/2021,18942.57143
1/4/2021,18934.42857
1/5/2021,18582.85714
1/6/2021,18372
1/7/2021,18101.14286
1/8/2021,12513.42857
1/9/2021,18045.57143
1/10/2021,18018
1/11/2021,17476.42857
1/12/2021,17173.57143
1/13/2021,16687.85714
1/14/2021,16323.71429
1/15/2021,18489.14286
1/16/2021,15385.85714
1/17/2021,15025.42857
1/18/2021,14663.42857
1/19/2021,14356
1/20/2021,14112.85714
1/21/2021,13963.57143
1/22/2021,13834.71429
1/23/2021,13792.57143
1/24/2021,13709
1/25/2021,13573.57143
1/26/2021,13412.57143
1/27/2021,12901.42857
1/28/2021,13517.14286
1/29/2021,13349.42857
1/30/2021,13091.57143
1/31/2021,12839.14286
2/1/2021,12772.42857
2/2/2021,12536.71429
2/3/2021,12712.85714
2/4/2021,11791.85714
2/5/2021,11596.28571
2/6/2021,11455.57143
2/7/2021,11512
2/8/2021,11579.85714
2/9/2021,11583.85714
2/10/2021,11587.28571
2/11/2021,11144.57143
2/12/2021,11206
2/13/2021,11225.28571
2/14/2021,11199.28571
2/15/2021,11200.85714
2/16/2021,11278.42857
2/17/2021,11272.42857
2/18/2021,11827.28571
2/19/2021,12091.57143
2/20/2021,12387.28571
2/21/2021,12751.57143
2/22/2021,12960.57143
2/23/2021,13265.14286
2/24/2021,13816.14286
2/25/2021,14299.57143
2/26/2021,14656
2/27/2021,15011.42857
2/28/2021,15198.71429
3/1/2021,15441.85714
3/2/2021,15620
3/3/2021,15715.57143
3/4/2021,15752.85714
3/5/2021,16009.42857
3/6/2021,16295.42857
3/7/2021,16736.71429
3/8/2021,17179.85714
3/9/2021,17598.71429
3/10/2021,18376.85714
3/11/2021,19297.85714
3/12/2021,20240.42857
3/13/2021,21178.42857
3/14/2021,22277.28571
3/15/2021,23577.85714
3/16/2021,25146.71429
3/17/2021,27006.28571
3/18/2021,29355
3/19/2021,31650.85714
3/20/2021,34297.42857
3/21/2021,37248.85714
3/22/2021,39566.42857
3/23/2021,42189.14286
3/24/2021,44704.14286
3/25/2021,47474.42857
3/26/2021,50518
3/27/2021,53213.42857
3/28/2021,56223.28571
3/29/2021,58437
3/30/2021,59325.28571
3/31/2021,62018.71429
4/1/2021,65211.28571
4/2/2021,69050
4/3/2021,73412.14286
4/4/2021,78489
4/5/2021,84313.42857
4/6/2021,93207.14286
4/7/2021,100987
4/8/2021,108201.5714
4/9/2021,116238
4/10/2021,124756.5714
4/11/2021,134092.8571
4/12/2021,143343.4286
4/13/2021,153148.5714
4/14/2021,163712.8571
4/15/2021,175910.7143
4/16/2021,188669
4/17/2021,204171.1429
4/18/2021,219155.4286
4/19/2021,233074.1429
4/20/2021,248900.7143
4/21/2021,265172.8571
4/22/2021,281682.5714
4/23/2021,297696
4/24/2021,310309.8571
4/25/2021,321622.5714
4/26/2021,330744.8571
4/27/2021,340140.4286
4/28/2021,349378.1429
4/29/2021,357040.1429
4/30/2021,364926.8571
5/1/2021,371040.7143
5/2/2021,373193.4286
5/3/2021,378092.4286
5/4/2021,381123.7143
5/5/2021,385855.5714
5/6/2021,389803.1429
5/7/2021,389672.4286
5/8/2021,391232
5/9/2021,391008.2857
5/10/2021,387097.7143
5/11/2021,382279.8571
5/12/2021,375179.2857
5/13/2021,365030.1429
5/14/2021,354318.7143
5/15/2021,341142.2857
5/16/2021,328984
5/17/2021,319497
5/18/2021,307913.1429
5/19/2021,295539.2857
5/20/2021,283597.4286
5/21/2021,273769
5/22/2021,263722.1429
5/23/2021,255283.4286
5/24/2021,245696.8571
5/25/2021,237352.1429
5/26/2021,228093.2857
5/27/2021,217638
5/28/2021,205708.1429
5/29/2021,194952.5714
5/30/2021,185012.4286
5/31/2021,175167.1429
6/1/2021,164291
6/2/2021,153270.4286
6/3/2021,145556.1429
6/4/2021,137947.4286
6/5/2021,130648.4286
6/6/2021,123205.8571
6/7/2021,117347
6/8/2021,111605.2857
6/9/2021,105792.2857
6/10/2021,100067.5714
6/11/2021,94896.57143
6/12/2021,90092.85714
6/13/2021,85776.42857
6/14/2021,82058.28571
6/15/2021,77719.42857
6/16/2021,73968.71429
6/17/2021,69710
6/18/2021,66341.57143
6/19/2021,63111.85714
6/20/2021,60687.28571
6/21/2021,58140
6/22/2021,56514.85714
6/23/2021,54637.85714
6/24/2021,53093.14286
6/25/2021,51371
6/26/2021,50201.57143
6/27/2021,49158.57143
6/28/2021,48433.71429
6/29/2021,47734.14286
6/30/2021,46979.42857
7/1/2021,46258
7/2/2021,45602.71429
7/3/2021,44607.14286
7/4/2021,43699.71429
7/5/2021,43290.71429
7/6/2021,42973.85714
7/7/2021,42560.42857
7/8/2021,42099.85714
7/9/2021,41907.71429
7/10/2021,41684.14286
7/11/2021,41306.71429
7/12/2021,41050
7/13/2021,40354.57143
7/14/2021,39760.42857
7/15/2021,39125.57143
7/16/2021,38456
7/17/2021,38406.14286
7/18/2021,38550.42857
7/19/2021,38148.57143
7/20/2021,38598.57143
7/21/2021,38548.57143
7/22/2021,38033.28571
7/23/2021,32593.42857
7/24/2021,37976.57143
7/25/2021,38147.57143
7/26/2021,38089.85714
7/27/2021,38324
7/28/2021,38627.71429
7/29/2021,39897.42857
7/30/2021,45847.28571
7/31/2021,40560.42857
8/1/2021,40670.85714
8/2/2021,40793.71429
8/3/2021,40646.71429
8/4/2021,40571.42857
8/5/2021,40630.42857
8/6/2021,40198.85714
8/7/2021,39804.42857
8/8/2021,39142.28571
8/9/2021,38807.28571
8/10/2021,38197
8/11/2021,37941.71429
8/12/2021,37295.57143
8/13/2021,37301.14286
8/14/2021,36874.42857
8/15/2021,36508.42857
8/16/2021,36074.42857
8/17/2021,35620.85714
8/18/2021,34936
